angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.18,0.27,"[546, 291, 243, 288]","[599, 502, 126, 144]",0.0,0.0,0.09,0.21,0.0,0.12,0.24,0.08,0.49,0.31,0.0,0.01
0.18,0.28,"[556, 282, 243, 289]","[595, 488, 133, 157]",0.0,0.0,0.13,0.25,0.0,0.18,0.23,0.13,0.44,0.15,0.02,0.01
0.16,0.24,"[555, 279, 246, 296]","[597, 489, 133, 158]",0.0,0.0,0.12,0.24,0.0,0.19,0.16,0.16,0.55,0.15,0.01,0.01
0.14,0.31,"[543, 275, 257, 304]","[595, 490, 136, 159]",0.0,0.0,0.1,0.21,0.0,0.15,0.1,0.18,0.65,0.14,0.01,0.01
0.18,,"[562, 289, 239, 285]",,0.0,,0.16,,0.0,,0.11,,0.53,,0.02,
0.13,,"[543, 280, 253, 302]",,0.0,,0.11,,0.0,,0.12,,0.63,,0.01,
0.1,,"[542, 276, 262, 312]",,0.0,,0.13,,0.01,,0.18,,0.57,,0.01,
0.18,,"[542, 282, 250, 299]",,0.0,,0.1,,0.0,,0.11,,0.6,,0.01,
0.14,,"[542, 276, 257, 309]",,0.0,,0.1,,0.0,,0.14,,0.61,,0.01,
0.16,0.25,"[542, 284, 250, 299]","[597, 491, 132, 156]",0.0,0.0,0.06,0.2,0.0,0.27,0.09,0.12,0.68,0.15,0.0,0.01
0.13,,"[544, 289, 250, 296]",,0.0,,0.06,,0.0,,0.12,,0.69,,0.0,
0.16,0.31,"[539, 277, 260, 309]","[598, 493, 131, 156]",0.0,0.0,0.08,0.16,0.0,0.25,0.17,0.13,0.59,0.14,0.0,0.01
0.12,,"[543, 288, 251, 298]",,0.0,,0.07,,0.0,,0.15,,0.66,,0.0,
0.15,,"[544, 289, 250, 298]",,0.0,,0.08,,0.0,,0.11,,0.66,,0.0,
0.17,0.35,"[545, 293, 249, 295]","[595, 492, 131, 154]",0.0,0.0,0.04,0.17,0.0,0.2,0.08,0.12,0.71,0.15,0.0,0.01
0.1,,"[546, 286, 248, 296]",,0.0,,0.1,,0.0,,0.12,,0.66,,0.01,
0.07,0.36,"[547, 285, 248, 296]","[600, 495, 128, 151]",0.0,0.0,0.13,0.17,0.01,0.21,0.13,0.1,0.64,0.14,0.02,0.01
0.08,0.32,"[542, 292, 249, 296]","[599, 496, 128, 151]",0.0,0.0,0.09,0.15,0.0,0.26,0.12,0.13,0.71,0.12,0.0,0.01
0.16,0.33,"[543, 291, 249, 301]","[595, 491, 129, 152]",0.0,0.0,0.04,0.22,0.0,0.2,0.23,0.08,0.56,0.17,0.0,0.01
0.18,,"[541, 288, 252, 303]",,0.0,,0.07,,0.0,,0.15,,0.58,,0.01,
0.22,0.27,"[537, 271, 266, 312]","[595, 489, 131, 158]",0.0,0.0,0.12,0.21,0.0,0.24,0.09,0.1,0.55,0.17,0.01,0.01
0.13,,"[540, 276, 252, 302]",,0.0,,0.1,,0.0,,0.11,,0.66,,0.01,
0.17,,"[536, 272, 258, 309]",,0.0,,0.07,,0.02,,0.13,,0.56,,0.05,
0.23,,"[538, 277, 255, 302]",,0.0,,0.03,,0.01,,0.1,,0.61,,0.01,
0.13,,"[537, 274, 252, 297]",,0.0,,0.06,,0.0,,0.07,,0.73,,0.01,
0.11,,"[537, 274, 252, 295]",,0.0,,0.06,,0.0,,0.08,,0.74,,0.01,
0.14,,"[539, 276, 250, 293]",,0.0,,0.04,,0.0,,0.09,,0.72,,0.0,
0.13,,"[544, 274, 254, 298]",,0.0,,0.05,,0.0,,0.11,,0.7,,0.01,
0.12,0.33,"[535, 274, 262, 310]","[592, 484, 131, 158]",0.0,0.0,0.06,0.2,0.0,0.14,0.1,0.12,0.71,0.2,0.0,0.01
0.2,0.29,"[537, 277, 259, 298]","[594, 488, 129, 153]",0.0,0.0,0.05,0.23,0.0,0.14,0.12,0.1,0.64,0.22,0.0,0.01
0.17,0.23,"[535, 271, 264, 306]","[594, 490, 128, 153]",0.0,0.0,0.09,0.25,0.0,0.2,0.1,0.1,0.63,0.2,0.01,0.01
0.14,0.28,"[534, 274, 263, 306]","[589, 486, 132, 160]",0.0,0.0,0.09,0.25,0.0,0.11,0.12,0.11,0.65,0.23,0.0,0.01
0.09,0.22,"[533, 279, 253, 296]","[593, 488, 132, 158]",0.0,0.0,0.06,0.19,0.0,0.21,0.13,0.18,0.72,0.19,0.01,0.01
0.14,,"[538, 279, 258, 299]",,0.0,,0.08,,0.0,,0.07,,0.7,,0.01,
0.27,0.3,"[532, 278, 258, 307]","[591, 489, 132, 157]",0.0,0.0,0.11,0.16,0.0,0.19,0.09,0.11,0.52,0.23,0.01,0.01
0.19,0.25,"[534, 281, 254, 303]","[590, 486, 133, 158]",0.0,0.0,0.1,0.33,0.0,0.17,0.12,0.08,0.59,0.16,0.01,0.01
0.16,0.23,"[535, 280, 255, 306]","[591, 489, 132, 160]",0.0,0.0,0.12,0.26,0.0,0.14,0.09,0.12,0.62,0.24,0.0,0.01
0.27,,"[532, 281, 257, 308]",,0.0,,0.08,,0.0,,0.05,,0.59,,0.0,
0.22,,"[533, 278, 261, 315]",,0.0,,0.14,,0.0,,0.12,,0.51,,0.0,
0.34,,"[532, 282, 258, 312]",,0.0,,0.08,,0.0,,0.06,,0.52,,0.0,
0.2,,"[529, 280, 257, 311]",,0.0,,0.13,,0.0,,0.12,,0.54,,0.0,
0.18,,"[533, 284, 251, 306]",,0.0,,0.14,,0.0,,0.12,,0.55,,0.0,
0.2,,"[539, 292, 244, 297]",,0.0,,0.13,,0.0,,0.21,,0.46,,0.0,
0.23,0.24,"[534, 290, 248, 301]","[584, 492, 131, 156]",0.0,0.0,0.11,0.33,0.0,0.11,0.19,0.08,0.47,0.23,0.0,0.01
0.11,0.26,"[526, 285, 249, 298]","[581, 492, 131, 157]",0.0,0.0,0.12,0.3,0.0,0.13,0.14,0.06,0.62,0.23,0.01,0.01
0.18,0.23,"[534, 293, 247, 301]","[581, 491, 132, 159]",0.0,0.0,0.06,0.32,0.0,0.09,0.14,0.07,0.62,0.28,0.0,0.01
0.22,,"[524, 286, 252, 303]",,0.0,,0.14,,0.0,,0.14,,0.5,,0.0,
0.36,0.29,"[525, 288, 249, 298]","[577, 487, 133, 160]",0.0,0.0,0.14,0.3,0.0,0.08,0.12,0.04,0.37,0.28,0.01,0.0
0.3,0.24,"[525, 289, 249, 298]","[579, 489, 129, 155]",0.0,0.0,0.19,0.3,0.0,0.14,0.14,0.05,0.36,0.26,0.01,0.0
0.25,,"[529, 291, 247, 291]",,0.0,,0.22,,0.0,,0.13,,0.38,,0.02,
0.23,,"[530, 289, 248, 295]",,0.0,,0.19,,0.0,,0.07,,0.49,,0.01,
0.21,,"[531, 291, 250, 295]",,0.0,,0.2,,0.01,,0.1,,0.47,,0.01,
0.2,,"[530, 293, 250, 292]",,0.0,,0.13,,0.01,,0.22,,0.43,,0.01,
0.17,,"[537, 300, 240, 292]",,0.0,,0.13,,0.0,,0.1,,0.6,,0.0,
0.27,,"[532, 295, 248, 298]",,0.0,,0.12,,0.0,,0.14,,0.46,,0.0,
0.25,,"[530, 291, 259, 306]",,0.0,,0.13,,0.0,,0.14,,0.47,,0.01,
0.23,,"[537, 300, 247, 292]",,0.0,,0.16,,0.0,,0.12,,0.48,,0.0,
0.2,,"[534, 288, 255, 300]",,0.0,,0.05,,0.0,,0.25,,0.5,,0.0,
0.19,,"[539, 287, 251, 297]",,0.0,,0.05,,0.0,,0.42,,0.33,,0.0,
0.13,,"[539, 288, 251, 295]",,0.0,,0.03,,0.0,,0.58,,0.26,,0.0,
0.4,,"[544, 302, 245, 291]",,0.0,,0.09,,0.0,,0.15,,0.36,,0.0,
0.37,,"[545, 303, 246, 290]",,0.0,,0.11,,0.0,,0.15,,0.36,,0.0,
0.32,,"[544, 302, 248, 290]",,0.0,,0.09,,0.0,,0.22,,0.37,,0.0,
0.16,,"[540, 287, 256, 300]",,0.0,,0.01,,0.0,,0.43,,0.39,,0.0,
0.26,,"[546, 303, 246, 289]",,0.0,,0.11,,0.0,,0.16,,0.46,,0.0,
0.32,,"[541, 298, 247, 292]",,0.0,,0.05,,0.0,,0.28,,0.35,,0.0,
0.42,,"[547, 299, 243, 286]",,0.0,,0.05,,0.0,,0.21,,0.32,,0.0,
0.39,,"[545, 298, 244, 289]",,0.0,,0.06,,0.0,,0.2,,0.34,,0.0,
0.23,,"[550, 303, 241, 286]",,0.0,,0.12,,0.0,,0.14,,0.5,,0.0,
0.29,,"[551, 304, 240, 283]",,0.0,,0.1,,0.0,,0.13,,0.48,,0.0,
0.3,,"[552, 303, 239, 282]",,0.0,,0.05,,0.0,,0.28,,0.36,,0.0,
0.32,,"[552, 303, 240, 284]",,0.0,,0.07,,0.0,,0.13,,0.48,,0.0,
0.3,,"[549, 300, 244, 287]",,0.0,,0.08,,0.0,,0.26,,0.35,,0.0,
0.33,,"[551, 301, 241, 284]",,0.0,,0.06,,0.0,,0.23,,0.38,,0.0,
0.27,,"[550, 302, 241, 283]",,0.0,,0.08,,0.0,,0.2,,0.45,,0.0,
0.36,,"[552, 302, 240, 283]",,0.0,,0.07,,0.0,,0.18,,0.39,,0.0,
0.33,,"[549, 302, 243, 284]",,0.0,,0.09,,0.0,,0.2,,0.38,,0.0,
0.35,,"[551, 303, 241, 283]",,0.0,,0.07,,0.0,,0.14,,0.44,,0.0,
0.31,,"[549, 302, 243, 287]",,0.0,,0.12,,0.0,,0.14,,0.43,,0.0,
0.36,,"[551, 303, 243, 287]",,0.0,,0.1,,0.0,,0.15,,0.38,,0.0,
0.39,,"[551, 302, 243, 285]",,0.0,,0.1,,0.0,,0.18,,0.32,,0.0,
0.32,,"[551, 301, 242, 284]",,0.0,,0.11,,0.0,,0.17,,0.39,,0.0,
0.4,,"[550, 299, 244, 288]",,0.0,,0.07,,0.0,,0.14,,0.4,,0.0,
0.31,,"[550, 299, 242, 286]",,0.0,,0.09,,0.0,,0.13,,0.47,,0.0,
0.26,,"[552, 299, 243, 286]",,0.0,,0.11,,0.0,,0.18,,0.45,,0.0,
